en	fr	de	tr	zh	it	fi
# Dil tablosu. Anahtar = ilk sütundaki İngilizce metin. {0} yer tutucuları ve <color> gibi etiketler her çeviride aynen kalmalı. Satır sonu için \n yaz.
# --- Ana menü ---
PLAY	JOUER	SPIELEN	OYNA	开始游戏	GIOCA	PELAA
OPTIONS	OPTIONS	OPTIONEN	AYARLAR	设置	OPZIONI	ASETUKSET
QUIT	QUITTER	BEENDEN	ÇIKIŞ	退出	ESCI	LOPETA
UPGRADES	AMÉLIORATIONS	UPGRADES	GELİŞTİRMELER	强化	POTENZIAMENTI	PÄIVITYKSET
BACK	RETOUR	ZURÜCK	GERİ	返回	INDIETRO	TAKAISIN
PRESS ENTER TO PLAY	APPUIE SUR ENTRÉE POUR JOUER	DRÜCKE ENTER ZUM SPIELEN	OYNAMAK İÇİN ENTER'A BAS	按回车键开始	PREMI INVIO PER GIOCARE	PAINA ENTER PELATAKSESI
SURVIVE THE ENDLESS WAVES	SURVIS AUX VAGUES SANS FIN	ÜBERLEBE DIE ENDLOSEN WELLEN	BİTMEYEN DALGALARA DAYAN	在无尽的敌潮中存活	SOPRAVVIVI ALLE ONDATE INFINITE	SELVIYDY LOPUTTOMISTA AALLOISTA
BEST RECORDS	MEILLEURS RECORDS	BESTLEISTUNGEN	EN İYİ REKORLAR	最佳纪录	RECORD MIGLIORI	PARHAAT ENNÄTYKSET
BEST WAVE	MEILLEURE VAGUE	BESTE WELLE	EN İYİ DALGA	最高波次	ONDATA MIGLIORE	PARAS AALTO
BEST TIME	MEILLEUR TEMPS	BESTZEIT	EN İYİ SÜRE	最长时间	TEMPO MIGLIORE	PARAS AIKA
MOST KILLS	PLUS D'ÉLIMINATIONS	MEISTE KILLS	EN ÇOK ÖLDÜRME	最多击杀	PIÙ UCCISIONI	ENITEN TAPPOJA
HIGHEST LEVEL	NIVEAU MAX	HÖCHSTES LEVEL	EN YÜKSEK SEVİYE	最高等级	LIVELLO MASSIMO	KORKEIN TASO
RUNS PLAYED	PARTIES JOUÉES	GESPIELTE RUNS	OYNANAN OYUN	游戏局数	PARTITE GIOCATE	PELATUT KIERROKSET
